vehicle_id,occupant_count,mean_anomaly_score_bits,median_anomaly_score_bits,maximum_anomaly_score_bits,std_anomaly_score_bits,minimum_anomaly_score_bits,baseline_occupants,moderate_occupants,elevated_occupants,high_occupants,extreme_occupants,anomalous_occupants,high_or_extreme_occupants,extreme_occupant_count,anomalous_occupant_fraction,high_or_extreme_fraction,maximum_anomaly_occupant_id,maximum_anomaly_dominant_contributor,maximum_anomaly_tier,vehicle_dominant_contributor,vehicle_anomaly_tier,vehicle_anomaly_score_bits,multi_occupant_anomaly,multiple_high_or_extreme,vehicle_anomaly_percentile
341339165.0,2,14.498574358188831,14.498574358188831,16.28802656868673,2.5306675853046405,12.709122147690934,0,1,0,1,0,2,1,0,1.0,0.5,341339168.0,posture,HIGH,seat_performance,HIGH,16.28802656868673,True,False,95.09906152241918
852115389.0,3,12.00081837748182,10.615641714240471,16.226139307068767,3.730849152676218,9.160674111136222,2,0,0,1,0,1,1,0,0.3333333333333333,0.3333333333333333,852115392.0,seat_type,HIGH,seat_type,HIGH,16.226139307068767,False,False,95.04692387904066
344083281.0,5,12.145428881208336,12.87627330981007,16.225041045480193,3.5270421679293626,7.551131469120578,2,1,1,1,0,3,1,0,0.6,0.2,344083282.0,seat_performance,HIGH,seat_performance,HIGH,16.225041045480193,True,False,94.99478623566215
341225606.0,2,11.142682134382206,11.142682134382206,16.200876330910685,7.153366833847455,6.084487937853726,1,0,0,1,0,1,1,0,0.5,0.5,341225609.0,belt_failure,HIGH,seat_track_position,HIGH,16.200876330910685,False,False,94.94264859228363
556130808.0,1,16.179318450315776,16.179318450315776,16.179318450315776,0.0,16.179318450315776,0,0,0,1,0,1,1,0,1.0,1.0,556130810.0,seat_type,HIGH,seat_type,HIGH,16.179318450315776,False,False,94.8905109489051
359720711.0,1,16.178896068797954,16.178896068797954,16.178896068797954,0.0,16.178896068797954,0,0,0,1,0,1,1,0,1.0,1.0,359720713.0,posture,HIGH,posture,HIGH,16.178896068797954,False,False,94.83837330552659
591151888.0,4,10.55247287319516,8.738742743778683,16.159717194458576,3.7412326072950712,8.572688810764705,3,0,0,1,0,1,1,0,0.25,0.25,651153255.0,seat_position,HIGH,seat_position,HIGH,16.159717194458576,False,False,94.78623566214807
556169922.0,1,16.132695116067897,16.132695116067897,16.132695116067897,0.0,16.132695116067897,0,0,0,1,0,1,1,0,1.0,1.0,556169924.0,seat_performance,HIGH,seat_performance,HIGH,16.132695116067897,False,False,94.73409801876956
852197394.0,2,14.61882161205737,14.61882161205737,16.13068246902957,2.1380941283510944,13.10696075508517,0,1,0,1,0,2,1,0,1.0,0.5,852197397.0,seat_position,HIGH,posture,HIGH,16.13068246902957,True,False,94.68196037539103
556121211.0,5,14.49872762855992,14.448250168936744,16.118390332169643,1.5786381105968788,12.179318450315773,0,2,1,2,0,5,2,0,1.0,0.4,556121215.0,seat_track_position,HIGH,seat_type,HIGH,16.118390332169643,True,True,94.62982273201251
